# Task: bending1
# Frequency (Hz): 20
# Clock (millisecond): 250
# Duration (seconds): 120
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,47.33,0.47,28.00,0.82,34.25,1.30
250,47.50,0.50,29.00,1.22,36.00,0.00
500,47.50,0.50,30.00,0.00,36.75,0.83
750,47.00,0.71,28.00,1.22,37.00,1.22
1000,45.00,0.71,24.25,1.79,36.00,0.00
1250,41.00,3.00,22.50,1.12,36.00,0.00
1500,36.25,0.43,26.75,0.43,36.00,0.00
1750,36.00,0.00,28.00,0.71,36.00,0.00
2000,38.50,2.29,24.00,2.12,35.00,1.22
2250,43.75,1.30,21.25,0.43,33.75,1.30
2500,45.00,0.00,24.00,0.00,36.25,0.43
2750,46.25,0.43,26.75,0.43,37.00,1.00
3000,46.50,0.50,27.00,0.00,37.00,1.00
3250,46.50,0.50,27.00,0.00,36.75,0.83
3500,45.75,0.83,24.75,1.30,36.25,0.43
3750,43.75,1.09,23.00,0.00,36.00,0.00
4000,42.00,0.00,23.75,0.43,36.00,0.00
4250,42.33,0.47,23.50,0.87,36.00,0.00
4500,43.67,0.47,21.00,0.00,36.00,0.00
4750,44.75,0.43,22.00,0.71,36.00,0.00
5000,45.00,0.00,22.25,0.43,36.00,0.00
5250,45.00,0.00,22.75,0.43,36.75,0.83
5500,45.50,0.50,23.75,0.43,37.00,1.00
5750,46.50,0.50,24.25,0.43,37.25,1.30
6000,46.75,0.43,24.50,0.50,37.00,1.00
6250,46.25,0.83,24.33,0.47,36.67,0.94
6500,45.25,0.43,22.40,1.20,36.20,0.40
6750,43.00,1.41,21.00,0.00,34.00,1.41
7000,38.50,1.80,24.00,0.00,33.00,0.00
7250,36.00,0.00,27.33,1.25,34.00,1.41
7500,36.00,0.00,28.75,0.83,35.50,0.87
7750,39.50,2.29,25.50,1.50,36.00,0.00
8000,44.00,0.82,21.25,1.48,36.00,0.00
8250,45.00,0.00,21.50,1.12,36.00,0.00
8500,46.33,0.47,24.00,0.00,36.75,0.83
8750,47.50,0.50,26.50,0.50,37.00,1.00
9000,47.75,0.43,27.50,0.50,37.00,1.00
9250,47.50,0.50,27.25,0.43,37.50,1.50
9500,46.50,0.50,26.00,0.82,37.00,1.41
9750,45.75,0.83,24.25,0.43,37.00,1.00
10000,45.00,0.00,26.00,1.58,37.75,1.30
10250,45.25,0.43,24.75,1.92,38.50,0.50
10500,45.67,0.47,21.50,0.50,38.67,0.47
10750,45.75,0.43,22.25,0.43,38.50,0.50
11000,45.50,0.50,22.75,0.43,38.50,0.50
11250,45.50,0.50,24.25,0.43,38.50,0.50
11500,45.00,0.00,24.00,0.00,38.50,0.50
11750,45.00,0.00,24.00,0.00,38.25,0.83
12000,45.00,0.00,23.75,0.43,37.75,1.30
12250,45.25,0.43,24.00,0.00,37.50,1.50
12500,45.00,0.00,23.75,0.43,37.50,1.50
12750,45.25,0.43,23.50,0.50,37.50,1.50
13000,45.00,0.00,23.25,0.43,37.50,1.50
13250,45.00,0.00,21.67,0.47,37.67,0.94
13500,45.33,0.47,24.00,0.00,38.67,0.47
13750,45.00,0.00,23.50,0.50,38.00,1.00
14000,45.00,0.00,23.67,0.47,38.00,1.00
14250,45.00,0.00,23.50,0.50,38.00,1.00
14500,45.00,0.00,24.00,0.00,38.25,0.83
14750,45.00,0.00,20.75,2.17,38.50,0.50
15000,45.00,0.00,14.50,1.80,38.25,0.83
15250,45.00,0.00,11.00,0.71,38.50,0.50
15500,45.00,0.00,11.67,0.47,38.50,0.50
15750,45.00,0.00,15.00,2.12,38.25,0.83
16000,45.00,0.00,14.25,1.48,38.50,0.50
16250,45.00,0.00,11.00,0.71,37.75,1.30
16500,45.00,0.00,11.50,1.50,37.50,1.12
16750,45.00,0.00,18.25,3.70,38.33,0.94
17000,44.00,1.22,20.50,0.87,36.75,0.83
17250,40.75,1.09,21.33,1.25,36.00,0.00
17500,38.00,1.22,24.00,0.00,36.00,0.00
17750,36.33,0.47,24.00,0.00,36.00,0.00
18000,35.75,1.79,25.50,1.12,36.00,0.00
18250,36.50,0.87,24.25,0.43,34.50,1.50
18500,37.00,1.41,21.67,0.94,36.25,0.43
18750,42.25,0.83,20.50,0.87,36.25,0.43
19000,44.75,0.43,18.75,1.30,36.00,0.00
19250,45.50,0.50,23.50,1.50,36.00,0.00
19500,46.00,0.71,25.00,0.71,36.00,0.00
19750,45.50,0.50,23.75,0.43,37.00,1.22
20000,45.25,0.43,25.00,1.22,37.75,1.30
20250,44.75,0.43,25.00,1.41,37.00,1.41
20500,44.50,0.50,24.00,0.00,37.00,1.00
20750,44.67,0.47,24.00,0.00,37.33,0.94
21000,44.33,0.47,23.67,0.47,37.25,1.30
21250,44.75,0.43,22.50,0.50,37.75,1.30
21500,44.75,0.43,23.75,0.43,37.25,1.30
21750,44.33,0.47,24.00,0.00,37.25,1.30
22000,44.50,0.50,23.00,0.00,37.25,1.30
22250,44.50,0.50,23.75,0.43,37.25,1.30
22500,44.33,0.47,23.67,0.47,37.50,1.50
22750,44.75,0.43,22.33,0.94,37.67,0.94
23000,45.00,0.00,22.75,0.83,37.00,1.00
23250,44.25,0.83,21.00,0.00,36.25,0.43
23500,43.25,0.83,20.50,0.50,36.00,0.00
23750,43.50,0.50,20.25,0.43,36.00,0.00
24000,43.75,0.43,21.00,0.00,36.00,0.00
24250,43.50,0.50,21.00,0.00,36.00,0.00
24500,45.00,0.00,21.75,0.83,36.00,0.00
24750,45.00,0.00,25.00,1.22,37.00,0.82
25000,45.25,0.43,22.00,1.63,36.67,0.94
25250,45.00,0.00,21.00,0.00,37.00,1.41
25500,45.00,0.00,21.00,0.00,38.00,1.00
25750,45.00,0.00,22.75,1.30,38.00,0.71
26000,45.00,0.00,23.00,1.22,36.00,0.00
26250,44.50,0.87,19.75,0.83,36.00,0.00
26500,41.50,1.50,21.00,1.41,33.75,1.30
26750,38.00,1.22,23.00,0.00,32.25,0.83
27000,37.00,1.00,22.50,0.50,32.00,0.00
27250,38.50,0.50,22.00,0.00,33.00,0.00
27500,40.75,0.83,22.00,0.00,33.00,0.00
27750,42.33,0.47,21.50,0.50,35.00,1.41
28000,44.75,0.43,21.00,0.00,36.00,0.00
28250,45.00,0.00,23.00,0.82,36.00,0.00
28500,45.67,0.47,24.00,0.00,36.75,0.83
28750,47.25,0.43,24.00,0.00,37.00,1.00
29000,47.50,0.50,25.00,0.71,37.00,1.00
29250,46.75,0.43,24.50,0.50,36.75,0.83
29500,45.75,0.83,24.00,0.00,36.25,0.43
29750,44.50,0.87,23.00,1.22,36.00,0.00
30000,41.50,1.50,21.00,0.00,36.00,0.00
30250,36.50,1.50,22.25,1.30,36.00,0.00
30500,36.33,0.47,27.33,1.25,36.00,0.00
30750,36.00,0.00,25.50,2.06,36.00,0.00
31000,41.00,1.22,20.00,0.71,36.00,0.00
31250,44.00,0.71,20.75,0.43,36.00,0.00
31500,45.00,0.00,23.67,0.47,36.25,0.43
31750,46.00,0.00,24.25,0.43,37.00,1.00
32000,46.50,0.50,27.00,0.00,37.50,1.50
32250,47.00,0.00,26.75,0.43,37.25,1.30
32500,46.50,0.50,25.00,1.22,36.75,0.83
32750,45.50,0.50,23.75,0.43,36.00,0.00
33000,44.00,1.22,20.25,0.83,36.00,0.00
33250,40.50,1.50,20.67,0.47,36.00,0.00
33500,37.00,1.41,24.25,1.09,35.00,1.41
33750,35.25,1.30,27.00,0.00,36.00,0.00
34000,38.25,1.48,23.00,1.22,36.00,0.00
34250,43.50,1.12,21.00,0.00,36.00,0.00
34500,45.00,0.00,24.00,0.00,36.75,0.83
34750,46.50,0.50,25.75,1.30,36.75,0.83
35000,47.25,0.43,28.00,0.71,36.50,0.50
35250,47.75,0.43,29.75,0.43,36.75,0.83
35500,47.25,0.83,28.50,1.12,37.00,1.00
35750,45.75,0.83,24.50,1.50,36.25,0.43
36000,42.75,1.79,19.50,1.50,36.00,0.00
36250,37.00,1.73,24.33,1.25,36.00,0.00
36500,36.00,0.00,26.75,0.43,36.25,0.43
36750,40.00,1.63,23.50,1.50,36.00,0.00
37000,43.33,0.94,21.67,0.94,36.25,0.43
37250,45.50,0.50,24.25,0.43,36.75,0.83
37500,47.25,0.43,24.00,0.00,36.75,0.83
37750,47.50,0.50,24.00,0.00,37.00,1.00
38000,46.50,0.50,24.00,0.00,37.00,1.00
38250,46.50,0.50,24.00,0.00,37.50,1.50
38500,45.25,0.43,19.50,4.15,37.75,1.30
38750,42.50,1.50,16.75,2.17,37.75,1.30
39000,40.25,1.30,20.50,2.29,36.25,0.43
39250,37.25,1.30,24.67,0.94,35.00,1.41
39500,35.25,1.30,26.75,0.43,33.00,0.00
39750,37.33,1.89,25.00,1.00,33.00,0.00
40000,43.25,1.30,22.50,1.12,33.00,0.00
40250,45.00,0.00,21.75,0.83,33.75,1.30
40500,46.00,0.82,25.00,1.22,36.00,0.00
40750,46.67,0.47,27.00,0.00,36.00,0.00
